pair_id,source_type,source_file,training_bucket,model_a,model_b,family_a,family_b,n_tensors,n_skipped,n_modules,n_svd_modules,mean_frob_norm_relative,mean_cosine_sim,mean_concentration_top_k,oq_weight,oq_weight_type,oq_naive,oq_naive_type,oq_abs_delta_naive_vs_weight,oq_rel_delta_naive_vs_weight,o_weight_n,o_bias_n,q_weight_n,q_bias_n,qkv_weight_n,qkv_bias_n,bias_asymmetry_flag,bias_leak_flag,duplicate_group,duplicate_count,duplicate_rank,is_canonical,include_in_paper
D5_tulu3_8b_sft_to_dpo,full_report,D5_tulu3_8b_sft_to_dpo.json,D5,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,Llama,Llama,291,0,291,226,0.000712,0.999989,0.215980,1.850242,O/Q,1.850242,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
E1_qwen25_32b_to_qwq_32b,full_report,E1_qwen25_32b_to_qwq_32b.json,E1,Qwen/Qwen2.5-32B,Qwen/QwQ-32B,Qwen,Qwen,771,0,771,450,0.016112,0.999939,0.124155,0.870034,O/Q,1.717404,O/Q,0.847370,0.973951,64,0,64,64,0,0,1,1,,1,1,1,1
F1_qwen25_0.5b_instruct,full_report,F1_qwen25_0.5b_instruct.json,F1,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,Qwen,Qwen,169,121,169,169,0.071502,0.997456,0.156469,0.763590,O/Q,0.763590,O/Q,0.000000,0.000000,24,0,24,0,0,0,0,0,,1,1,1,1
F2_qwen25_1.5b_instruct,full_report,F2_qwen25_1.5b_instruct.json,F2,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen,Qwen,282,56,282,197,0.008667,0.999952,0.222124,1.062093,O/Q,2.102215,O/Q,1.040122,0.979314,28,0,28,28,0,0,1,1,,1,1,1,1
F3_qwen25_3b_instruct,full_report,F3_qwen25_3b_instruct.json,F3,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,362,72,362,253,0.008589,0.999954,0.214292,1.040319,O/Q,2.058099,O/Q,1.017780,0.978334,36,0,36,36,0,0,1,1,,1,1,1,1
F4_qwen25_7b_instruct,full_report,F4_qwen25_7b_instruct.json,F4,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,283,56,283,198,0.011958,0.999957,0.140971,0.994787,O/Q,1.978025,O/Q,0.983238,0.988391,28,0,28,28,0,0,1,1,,1,1,1,1
F5_mistral7b_v01_instruct,full_report,F5_mistral7b_v01_instruct.json,F5,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,Mistral,Mistral,291,0,291,226,0.139368,0.992180,0.076849,1.105737,O/Q,1.105737,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
F6_gemma2_9b_instruct,full_report,F6_gemma2_9b_instruct.json,F6,google/gemma-2-9b,google/gemma-2-9b-it,Gemma,Gemma,464,0,464,295,0.147864,0.985378,0.046011,0.732355,O/Q,0.732355,O/Q,0.000000,0.000000,42,0,42,0,0,0,0,0,,1,1,1,1
F7_llama31_8b_instruct,full_report,F7_llama31_8b_instruct.json,F7,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,Llama,Llama,291,0,291,226,0.035408,0.999781,0.102805,1.493292,O/Q,1.493292,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
G1_phi4_to_phi4_reasoning,full_report,G1_phi4_to_phi4_reasoning.json,G1,microsoft/phi-4,microsoft/Phi-4-reasoning,Phi,Phi,243,0,243,162,0.030540,0.999999,0.092604,1.074770,O/QKV,1.074770,O/QKV,0.000000,0.000000,40,0,0,0,40,0,0,0,,1,1,1,1
